Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
T,AT&T Inc.,24.42,-1.08,-4.24%,130.213M,59.954M,174.383B,8.85
AMC,"AMC Entertainment Holdings, Inc.",16.86,+0.80,+4.98%,123.731M,46.104M,8.655B,N/A
AMD,"Advanced Micro Devices, Inc.",116.78,+2.53,+2.21%,122.468M,66.875M,141.025B,36.02
F,Ford Motor Company,20.66,+0.36,+1.77%,111.814M,111.453M,82.562B,28.98
SOFI,"SoFi Technologies, Inc.",13.27,+0.79,+6.33%,89.022M,46.039M,10.611B,N/A
NIO,NIO Inc.,24.84,+0.33,+1.35%,81.469M,52.095M,39.51B,N/A
AAPL,Apple Inc.,174.61,-0.17,-0.10%,82.89M,99.997M,2.85T,29.03
PLTR,Palantir Technologies Inc.,14.20,+0.49,+3.57%,68.681M,43.711M,28.468B,N/A
XOM,Exxon Mobil Corporation,80.83,+4.87,+6.41%,59.476M,23.303M,342.199B,N/A
NVDA,NVIDIA Corporation,246.38,+1.52,+0.62%,51.893M,52.44M,613.979B,75.97
PCG,PG&E Corporation,12.13,-0.66,-5.16%,50.579M,13.757M,27.289B,N/A
SIRI,Sirius XM Holdings Inc.,6.76,+0.40,+6.29%,51.023M,18.453M,27.037B,87.79
ITUB,Itaú Unibanco Holding S.A.,4.7900,+0.0731,+1.55%,38.228M,43.954M,46.846B,8.66
LCID,"Lucid Group, Inc.",29.96,+0.57,+1.94%,38.641M,69.345M,49.325B,N/A
CCL,Carnival Corporation & plc,20.93,+1.12,+5.65%,38.454M,42.406M,24.517B,N/A
WFC,Wells Fargo & Company,55.60,+1.80,+3.35%,33.364M,28.245M,216.05B,11.23
INTC,Intel Corporation,48.95,+0.13,+0.27%,35.386M,35.524M,199.324B,10.07
VALE,Vale S.A.,16.18,+1.00,+6.59%,35.256M,34.395M,76.053B,4.61
MSFT,Microsoft Corporation,308.76,-2.22,-0.71%,40.388M,33.269M,2.315T,32.89
BAC,Bank of America Corporation,46.94,+0.80,+1.73%,37.871M,50.954M,379.173B,13.15
RBLX,Roblox Corporation,67.75,+1.89,+2.87%,33.547M,23.559M,39.216B,N/A
VZ,Verizon Communications Inc.,53.20,-0.03,-0.06%,33.041M,22.822M,223.321B,10.00
DKNG,DraftKings Inc.,23.68,+1.59,+7.20%,32.945M,21.017M,9.627B,N/A
PBR,Petróleo Brasileiro S.A. - Petrobras,13.85,+0.50,+3.75%,31.165M,29.948M,90.331B,3.55
AAL,American Airlines Group Inc.,16.83,+0.36,+2.19%,30.594M,38.956M,10.901B,N/A
